vid,uid,s_min,s_sec,a_obj,split,label
5EllFCrnSYc,5EllFCrnSYc_80000_90000,1,20,woman_boy,train,v2
5EllFCrnSYc,5EllFCrnSYc_450000_460000,7,30,woman_girl,train,v2
5FYG_Wtet7U,5FYG_Wtet7U_20000_30000,0,20,handpan_guitar_violin,train,v2
5FYG_Wtet7U,5FYG_Wtet7U_50000_60000,0,50,handpan_guitar_violin,train,v2
5FYG_Wtet7U,5FYG_Wtet7U_93000_103000,1,33,handpan_guitar_violin,train,v2
5FYG_Wtet7U,5FYG_Wtet7U_120000_130000,2,0,handpan_guitar_violin,train,v2
5FYG_Wtet7U,5FYG_Wtet7U_150000_160000,2,30,handpan_guitar_violin,train,v2
5FYG_Wtet7U,5FYG_Wtet7U_160000_170000,2,40,handpan_guitar_violin,train,v2
5FYG_Wtet7U,5FYG_Wtet7U_194000_204000,3,14,handpan_guitar_violin,train,v2
5FYG_Wtet7U,5FYG_Wtet7U_250000_260000,4,10,handpan_guitar_violin,train,v2
5FYG_Wtet7U,5FYG_Wtet7U_265000_275000,4,25,handpan_guitar_violin,train,v2
5OfGgKjcfdY,5OfGgKjcfdY_70000_80000,1,10,woman_hair-dryer,train,v2
5oQRA7tEVfI,5oQRA7tEVfI_10000_20000,0,10,drum_guitar,test,v2
5oQRA7tEVfI,5oQRA7tEVfI_30000_40000,0,30,woman_guitar_drum,test,v2
5oQRA7tEVfI,5oQRA7tEVfI_70000_80000,1,10,drum_guitar_woman,test,v2
5sNjLf4Vnp4,5sNjLf4Vnp4_23000_33000,0,23,piano_woman_guitar,train,v2
5sNjLf4Vnp4,5sNjLf4Vnp4_80000_90000,1,20,woman_piano_guitar,train,v2
5sNjLf4Vnp4,5sNjLf4Vnp4_130000_140000,2,10,woman_piano_drum_guitar,train,v2
5tFkQU7swk0,5tFkQU7swk0_78000_88000,1,18,guitar_man,train,v2
5V9Wtpt_SzY,5V9Wtpt_SzY_145000_155000,2,25,piano_man,train,v2
5vlP7iCnWt4,5vlP7iCnWt4_52000_62000,0,52,clock_man,train,v2
5z3NWWlqKEA,5z3NWWlqKEA_10000_20000,0,10,guitar_man,val,v2
5z3NWWlqKEA,5z3NWWlqKEA_68000_78000,1,8,guitar_man,val,v2
68Mm2Nc-W4w,68Mm2Nc-W4w_50000_60000,0,50,girl_guitar,train,v2
68Mm2Nc-W4w,68Mm2Nc-W4w_80000_90000,1,20,girl_guitar,train,v2
6A0dHHhzk30,6A0dHHhzk30_85000_95000,1,25,man_sitar,train,v2
6A0dHHhzk30,6A0dHHhzk30_121000_131000,2,1,man_sitar,train,v2
6DR8dA9TDOc_1,6DR8dA9TDOc_1,0,0,marimba_piano,train,v1m
6hT_Pj7qGhQ,6hT_Pj7qGhQ_0_10000,0,0,woman_violin,train,v2
6I9H_6n-qOg,6I9H_6n-qOg_1000_11000,0,1,drum_guitar_trumpet_cello,train,v2
6ib8mp4pyzU,6ib8mp4pyzU_21000_31000,0,21,man_hair-dryer,train,v2
6JRqjDGOfVo,6JRqjDGOfVo_243000_253000,4,3,piano_saxophone,test,v2
6JRqjDGOfVo,6JRqjDGOfVo_296000_306000,4,56,piano_saxophone_clarinet,test,v2
6oHMyrDEtmM,6oHMyrDEtmM_90000_100000,1,30,drum_handpan,train,v2
6P1hOS7pmwI,6P1hOS7pmwI_29000_39000,0,29,violin_clarinet,train,v2
6P1hOS7pmwI,6P1hOS7pmwI_61000_71000,1,1,clarinet_violin,train,v2
6P1hOS7pmwI,6P1hOS7pmwI_83000_93000,1,23,clarinet_cello_violin,train,v2
6RxxHz-7eEQ,6RxxHz-7eEQ_3362000_3372000,56,2,duck_goose,test,v2
6tCRm2ZbFWI,6tCRm2ZbFWI_0_10000,0,0,frying-food_man,train,v2
6tqKInry4Tc,6tqKInry4Tc_61000_71000,1,1,piano_trumpet,train,v2
6uFdi6GOztI,6uFdi6GOztI_30000_40000,0,30,cat_car,train,v2
6W71gXjZeSg,6W71gXjZeSg_30000_40000,0,30,woman_piano,train,v2
6W71gXjZeSg,6W71gXjZeSg_70000_80000,1,10,woman_piano,train,v2
6WDfhQNFgCM,6WDfhQNFgCM_60000_70000,1,0,woman_baby_man_clipper,train,v2
6xzc5Y-78-s,6xzc5Y-78-s_120000_130000,2,0,woman_vacuum-cleaner,train,v2
7-I_bth-7qk,7-I_bth-7qk_45000_55000,0,45,woman_guitar_man,train,v2
7-I_bth-7qk_0,7-I_bth-7qk_0,0,0,guitar_woman,train,v1m
7-I_bth-7qk_1,7-I_bth-7qk_1,0,0,guitar_man,val,v1m
72UVYwGtpyo,72UVYwGtpyo_15000_25000,0,15,bassoon_clarinet,train,v2
72UVYwGtpyo,72UVYwGtpyo_80000_90000,1,20,bassoon_clarinet,train,v2
73gc9U3emh0_0,73gc9U3emh0_0,0,0,cat_dog,train,v1m
73gc9U3emh0_1,73gc9U3emh0_1,0,0,cat_dog,train,v1m
73QQbJIeB3Y,73QQbJIeB3Y_68000_78000,1,8,baby_dog,train,v2
73QQbJIeB3Y,73QQbJIeB3Y_95000_105000,1,35,woman_baby_man,train,v2
73QQbJIeB3Y,73QQbJIeB3Y_128000_138000,2,8,baby_man,train,v2
73QQbJIeB3Y,73QQbJIeB3Y_232000_242000,3,52,woman_baby_dog,train,v2
73QQbJIeB3Y,73QQbJIeB3Y_265000_275000,4,25,baby_dog,train,v2
73QQbJIeB3Y,73QQbJIeB3Y_298000_308000,4,58,baby_man,train,v2
75mMPO0x4Gs,75mMPO0x4Gs_13000_23000,0,13,woman_parrot,test,v2
75mMPO0x4Gs,75mMPO0x4Gs_60000_70000,1,0,woman_parrot,test,v2
75mMPO0x4Gs,75mMPO0x4Gs_400000_410000,6,40,woman_man_parrot,test,v2
75mMPO0x4Gs,75mMPO0x4Gs_470000_480000,7,50,man_parrot,test,v2
75mMPO0x4Gs,75mMPO0x4Gs_660000_670000,11,0,man_parrot,test,v2
79T0FclnIDw,79T0FclnIDw_0_10000,0,0,woman_baby,train,v2
79T0FclnIDw,79T0FclnIDw_66000_76000,1,6,woman_baby,train,v2
7fdFGEg-9R8,7fdFGEg-9R8_124000_134000,2,4,piano_erhu,train,v2
7gwIEglCBI8,7gwIEglCBI8_20000_30000,0,20,piano_bassoon,train,v2
7gwIEglCBI8,7gwIEglCBI8_30000_40000,0,30,piano_bassoon,train,v2
7gwIEglCBI8,7gwIEglCBI8_71000_81000,1,11,piano_bassoon,train,v2
7gwIEglCBI8,7gwIEglCBI8_90000_100000,1,30,piano_bassoon,train,v2
7gwIEglCBI8,7gwIEglCBI8_187000_197000,3,7,piano_bassoon,train,v2
7hzHMJAOpFI,7hzHMJAOpFI_60000_70000,1,0,man_clipper,train,v2
7hzHMJAOpFI,7hzHMJAOpFI_77000_87000,1,17,man_clipper,train,v2
7mvN10Zo2mg,7mvN10Zo2mg_216000_226000,3,36,man_clipper,train,v2
7mvN10Zo2mg,7mvN10Zo2mg_332000_342000,5,32,man_clipper,train,v2
7n4LwRcCA6I,7n4LwRcCA6I_230000_240000,3,50,frying-food_man,train,v2
7o8j50n0NIg,7o8j50n0NIg_11000_21000,0,11,tuba_trumpet,train,v2
7ofrqp6K1D4,7ofrqp6K1D4_50000_60000,0,50,guitar_man,train,v2
7ofrqp6K1D4,7ofrqp6K1D4_60000_70000,1,0,guitar_man,train,v2
7oKjW1OIjuw,7oKjW1OIjuw_294000_304000,4,54,woman_man,train,v2
7oKjW1OIjuw,7oKjW1OIjuw_305000_315000,5,5,woman_man,train,v2
7oKjW1OIjuw,7oKjW1OIjuw_315000_325000,5,15,woman_man,train,v2
7oKjW1OIjuw,7oKjW1OIjuw_325000_335000,5,25,woman_man,train,v2
7oKjW1OIjuw,7oKjW1OIjuw_368000_378000,6,8,woman_man,train,v2
7oKjW1OIjuw,7oKjW1OIjuw_385000_395000,6,25,woman_man,train,v2
7oKjW1OIjuw,7oKjW1OIjuw_398000_408000,6,38,woman_man,train,v2
7P50BF-U4m0,7P50BF-U4m0_0_10000,0,0,saw_tractor,train,v2
7P50BF-U4m0,7P50BF-U4m0_109000_119000,1,49,saw_tractor,train,v2
7P50BF-U4m0,7P50BF-U4m0_150000_160000,2,30,saw_tractor,train,v2
7Pj04yaBLPA,7Pj04yaBLPA_64000_74000,1,4,guitar_man,train,v2
7Pj04yaBLPA,7Pj04yaBLPA_95000_105000,1,35,harmonica_guitar,train,v2
7Pj04yaBLPA,7Pj04yaBLPA_184000_194000,3,4,harmonica_guitar,train,v2
7pKgYuwH_Y4,7pKgYuwH_Y4_88000_98000,1,28,accordion_man,val,v2
7pKgYuwH_Y4,7pKgYuwH_Y4_125000_135000,2,5,accordion_drum_guitar_man,val,v2
7pKgYuwH_Y4,7pKgYuwH_Y4_155000_165000,2,35,accordion_drum_guitar_man,val,v2
7PSyVqoTLbg,7PSyVqoTLbg_22000_32000,0,22,girl_boy,train,v2
7PSyVqoTLbg,7PSyVqoTLbg_115000_125000,1,55,girl_boy,train,v2
7qCo7XLheoQ,7qCo7XLheoQ_79000_89000,1,19,dog_hen,train,v2
7qCo7XLheoQ,7qCo7XLheoQ_618000_628000,10,18,woman_dog,train,v2
7RHm25E9qro,7RHm25E9qro_4000_14000,0,4,harmonica_guitar_man,train,v2
7RHm25E9qro,7RHm25E9qro_22000_32000,0,22,harmonica_guitar,train,v2
7RHm25E9qro,7RHm25E9qro_80000_90000,1,20,harmonica_guitar,train,v2
7RHm25E9qro,7RHm25E9qro_157000_167000,2,37,harmonica_guitar,train,v2
7RHm25E9qro,7RHm25E9qro_158000_168000,2,38,harmonica_guitar,train,v2
7tQSdALRYxI,7tQSdALRYxI_40000_50000,0,40,girl_vacuum-cleaner,test,v2
7yE6s7lt7Yw,7yE6s7lt7Yw_191000_201000,3,11,dog_man,test,v2
8333MYmoHs4,8333MYmoHs4_330000_340000,5,30,man_gun,test,v2
89wbeFGWzkY,89wbeFGWzkY_128000_138000,2,8,accordion_man,train,v2
89wbeFGWzkY,89wbeFGWzkY_415000_425000,6,55,accordion_man,train,v2
89wbeFGWzkY,89wbeFGWzkY_690000_700000,11,30,accordion_man,train,v2
89wbeFGWzkY,89wbeFGWzkY_812000_822000,13,32,accordion_man,train,v2
89wbeFGWzkY,89wbeFGWzkY_870000_880000,14,30,accordion_man,train,v2
8bvSnaz5E7k_0,8bvSnaz5E7k_0,0,0,baby_dog,train,v1m
8bvSnaz5E7k_1,8bvSnaz5E7k_1,0,0,dog_baby,val,v1m
8cGUDi8c7a4,8cGUDi8c7a4_7000_17000,0,7,drum_guitar,test,v2
8cGUDi8c7a4,8cGUDi8c7a4_30000_40000,0,30,drum_guitar,test,v2
8cGUDi8c7a4,8cGUDi8c7a4_60000_70000,1,0,drum_guitar_woman_boy,test,v2
8cGUDi8c7a4,8cGUDi8c7a4_80000_90000,1,20,drum_guitar,test,v2
8cGUDi8c7a4,8cGUDi8c7a4_93000_103000,1,33,drum_guitar,test,v2
8cGUDi8c7a4,8cGUDi8c7a4_113000_123000,1,53,drum_guitar_boy,test,v2
8cGUDi8c7a4,8cGUDi8c7a4_140000_150000,2,20,drum_guitar_boy,test,v2
8cGUDi8c7a4,8cGUDi8c7a4_175000_185000,2,55,drum_guitar_boy,test,v2
8cGUDi8c7a4,8cGUDi8c7a4_195000_205000,3,15,drum_guitar_boy,test,v2
8E_86fHC8x8,8E_86fHC8x8_205000_215000,3,25,tabla_sitar,train,v2
8E_86fHC8x8,8E_86fHC8x8_242000_252000,4,2,tabla_sitar,train,v2
8fcfwawE0y0,8fcfwawE0y0_16000_26000,0,16,dog_hen,test,v2
8Fi5I0ZXREc,8Fi5I0ZXREc_151000_161000,2,31,clarinet_cello_violin,train,v2
8Fi5I0ZXREc,8Fi5I0ZXREc_1525000_1535000,25,25,clarinet_cello_violin,train,v2
8hr42lVW_gk,8hr42lVW_gk_12000_22000,0,12,bassoon_clarinet,train,v2
8hr42lVW_gk,8hr42lVW_gk_40000_50000,0,40,bassoon_clarinet,train,v2
8hr42lVW_gk,8hr42lVW_gk_60000_70000,1,0,bassoon_clarinet,train,v2
8Ia7ZEjX16A,8Ia7ZEjX16A_210000_220000,3,30,guitar_cello_violin,train,v2
8Ia7ZEjX16A,8Ia7ZEjX16A_270000_280000,4,30,guitar_cello_violin,train,v2
8kvWXp4snH8,8kvWXp4snH8_78000_88000,1,18,piano_clarinet,train,v2
8kvWXp4snH8,8kvWXp4snH8_642000_652000,10,42,piano_clarinet,train,v2
8mBohdEd8x0,8mBohdEd8x0_120000_130000,2,0,piano_trumpet,train,v2
8mjr3AzE11s,8mjr3AzE11s_36000_46000,0,36,guitar_pipa,train,v2
8mjr3AzE11s,8mjr3AzE11s_108000_118000,1,48,guitar_pipa,train,v2
8mjr3AzE11s,8mjr3AzE11s_386000_396000,6,26,guitar_pipa,train,v2
8p8zjfAiuJQ,8p8zjfAiuJQ_990000_1000000,16,30,tabla_sitar,val,v2
8p8zjfAiuJQ,8p8zjfAiuJQ_1575000_1585000,26,15,tabla_sitar,val,v2
8p8zjfAiuJQ,8p8zjfAiuJQ_1605000_1615000,26,45,tabla_sitar,val,v2
8p8zjfAiuJQ,8p8zjfAiuJQ_1835000_1845000,30,35,tabla_sitar,val,v2
8q8lFLEvVU8_1,8q8lFLEvVU8_1,0,0,guitar_woman,train,v1m
8q8lFLEvVU8_2,8q8lFLEvVU8_2,0,0,guitar_woman,train,v1m
8zw2jvclHQM,8zw2jvclHQM_0_10000,0,0,saw_man,train,v2
8zw2jvclHQM,8zw2jvclHQM_717000_727000,11,57,saw_car_man,train,v2
9IDJok3837s,9IDJok3837s_10000_20000,0,10,saxophone_trombone_trumpet,train,v2
9iWxM1PNNCw,9iWxM1PNNCw_50000_60000,0,50,guitar_boy,train,v2
9iWxM1PNNCw,9iWxM1PNNCw_158000_168000,2,38,drum_guitar_boy,train,v2
9iWxM1PNNCw,9iWxM1PNNCw_208000_218000,3,28,drum_guitar_boy,train,v2
9NFQmlc1cpg,9NFQmlc1cpg_3190000_3200000,53,10,woman_pipa,train,v2
9QDmXc4mgXk,9QDmXc4mgXk_10000_20000,0,10,woman_parrot,train,v2
9xp46AwF9BY,9xp46AwF9BY_38000_48000,0,38,piano_violin,train,v2
9xp46AwF9BY,9xp46AwF9BY_114000_124000,1,54,piano_violin,train,v2
9xp46AwF9BY_0,9xp46AwF9BY_0,0,0,violin_piano,val,v1m
9xp46AwF9BY_3,9xp46AwF9BY_3,0,0,violin_piano,test,v1m
9xTGSB1Gu5k,9xTGSB1Gu5k_180000_190000,3,0,frying-food_man,val,v2
9ZQ-T83pfWk,9ZQ-T83pfWk_2000_12000,0,2,flute_piano,train,v2
9ZQ-T83pfWk,9ZQ-T83pfWk_65000_75000,1,5,flute_piano,train,v2
A0pLvDl2eTw,A0pLvDl2eTw_97000_107000,1,37,man_motorcycle,train,v2
a1_85vV17DE,a1_85vV17DE_60000_70000,1,0,piano_cello,test,v2
a5BrFYq_wbQ,a5BrFYq_wbQ_60000_70000,1,0,girl_guitar,train,v2
a5BrFYq_wbQ,a5BrFYq_wbQ_90000_100000,1,30,girl_guitar,train,v2
a5R1r-k6MXo,a5R1r-k6MXo_109000_119000,1,49,dog_man,test,v2
a5R1r-k6MXo,a5R1r-k6MXo_739000_749000,12,19,dog_man,test,v2
A7N2Japi3-A,A7N2Japi3-A_405000_415000,6,45,dog_man,train,v2
A7N2Japi3-A,A7N2Japi3-A_615000_625000,10,15,dog_man,train,v2
A7N2Japi3-A,A7N2Japi3-A_626000_636000,10,26,dog_man,train,v2
A7N2Japi3-A_5,A7N2Japi3-A_5,0,0,man_dog,train,v1m
A7N2Japi3-A_8,A7N2Japi3-A_8,0,0,dog_man,train,v1m
aaAwY9IGUFQ,aaAwY9IGUFQ_85000_95000,1,25,man_ukulele,train,v2
Aaiv1-NMnFs,Aaiv1-NMnFs_0_10000,0,0,drum_guitar_woman,train,v2
Aaiv1-NMnFs,Aaiv1-NMnFs_24000_34000,0,24,woman_guitar_drum,train,v2
Aaiv1-NMnFs,Aaiv1-NMnFs_57000_67000,0,57,drum_guitar_man_woman,train,v2
Aaiv1-NMnFs,Aaiv1-NMnFs_90000_100000,1,30,woman_guitar_drum_man,train,v2
Aaiv1-NMnFs,Aaiv1-NMnFs_110000_120000,1,50,woman_guitar_drum_man,train,v2
Aaiv1-NMnFs,Aaiv1-NMnFs_122000_132000,2,2,drum_guitar_man_woman,train,v2
AbAmotDZO7A,AbAmotDZO7A_80000_90000,1,20,man_mower,train,v2
aBmzZJZ_M8Y,aBmzZJZ_M8Y_9000_19000,0,9,piano_clarinet,train,v2
aBmzZJZ_M8Y,aBmzZJZ_M8Y_31000_41000,0,31,piano_clarinet,train,v2
aBmzZJZ_M8Y,aBmzZJZ_M8Y_51000_61000,0,51,piano_clarinet,train,v2
Agd3SwNy8QY,Agd3SwNy8QY_30000_40000,0,30,guitar_man,test,v2
AGE-Seobelg,AGE-Seobelg_0_10000,0,0,flute_piano,train,v2
AGE-Seobelg,AGE-Seobelg_10000_20000,0,10,flute_piano,train,v2
aHztffqIE64,aHztffqIE64_20000_30000,0,20,piano_trombone,train,v2
aHztffqIE64,aHztffqIE64_125000_135000,2,5,piano_trombone,train,v2
ak6-mmzUdlM,ak6-mmzUdlM_61000_71000,1,1,guitar_man,train,v2
AkxsqP85rkE,AkxsqP85rkE_598000_608000,9,58,woman_man,train,v2
AL0JokIbyNQ,AL0JokIbyNQ_180000_190000,3,0,frying-food_man,train,v2
alEfe7uZzPw,alEfe7uZzPw_767000_777000,12,47,frying-food_man,train,v2
ALncx-DMioE,ALncx-DMioE_26000_36000,0,26,guitar_man,train,v2
ALncx-DMioE,ALncx-DMioE_52000_62000,0,52,guitar_man,train,v2
ALncx-DMioE,ALncx-DMioE_180000_190000,3,0,guitar_man,train,v2
amnXQw15Pzc,amnXQw15Pzc_357000_367000,5,57,gun_man,train,v2
aNguMUPxN_Y,aNguMUPxN_Y_60000_70000,1,0,man_clipper,train,v2
AnQ3a6Scm6g,AnQ3a6Scm6g_5000_15000,0,5,girl_piano,train,v2
apm9w1N6sd0,apm9w1N6sd0_12000_22000,0,12,guitar_man,train,v2
ASBRDrIkrV0,ASBRDrIkrV0_20000_30000,0,20,piano_man,train,v2
ASBRDrIkrV0,ASBRDrIkrV0_130000_140000,2,10,piano_man,train,v2
AUJ0gIvTpts,AUJ0gIvTpts_50000_60000,0,50,woman_guitar,train,v2
AUJ0gIvTpts,AUJ0gIvTpts_82000_92000,1,22,girl_guitar,train,v2
AUJ0gIvTpts,AUJ0gIvTpts_168000_178000,2,48,girl_guitar,train,v2
AUJjOSNl_Qs,AUJjOSNl_Qs_140000_150000,2,20,drum_bassoon,val,v2
awW3AfCa0hE,awW3AfCa0hE_20000_30000,0,20,girl_guitar,train,v2
awW3AfCa0hE,awW3AfCa0hE_70000_80000,1,10,girl_guitar,train,v2
awW3AfCa0hE,awW3AfCa0hE_128000_138000,2,8,girl_guitar,train,v2
ax5-e-dLYY0,ax5-e-dLYY0_35000_45000,0,35,guitar_man,train,v2
ax5-e-dLYY0,ax5-e-dLYY0_70000_80000,1,10,guitar_man,train,v2
aXAUpn6dZi8,aXAUpn6dZi8_163000_173000,2,43,woman_hair-dryer,train,v2
AXJmHOAUkw8,AXJmHOAUkw8_5000_15000,0,5,woman_piano,train,v2
azDsJByH8fw,azDsJByH8fw_655000_665000,10,55,man_gun,train,v2
b_EzDZqxYA8,b_EzDZqxYA8_335000_345000,5,35,axe_saw,train,v2
b0VrvTkIe6I,b0VrvTkIe6I_37000_47000,0,37,guitar_man,train,v2
b1CWQvPOpU4,b1CWQvPOpU4_110000_120000,1,50,woman_guitar_man,test,v2
b1CWQvPOpU4,b1CWQvPOpU4_150000_160000,2,30,woman_guitar_man,test,v2
B7EgrbLf8-Q,B7EgrbLf8-Q_11000_21000,0,11,man_ukulele,val,v2
B7EgrbLf8-Q,B7EgrbLf8-Q_50000_60000,0,50,man_ukulele,val,v2
B7EgrbLf8-Q,B7EgrbLf8-Q_110000_120000,1,50,man_ukulele,val,v2
B8Y9XsgRTco,B8Y9XsgRTco_70000_80000,1,10,bassoon_clarinet,train,v2
B8Y9XsgRTco,B8Y9XsgRTco_71000_81000,1,11,bassoon_clarinet,train,v2
B8Y9XsgRTco,B8Y9XsgRTco_100000_110000,1,40,bassoon_clarinet,train,v2
B8Y9XsgRTco,B8Y9XsgRTco_120000_130000,2,0,bassoon_clarinet,train,v2
B8Y9XsgRTco,B8Y9XsgRTco_265000_275000,4,25,bassoon_clarinet,train,v2
B8Y9XsgRTco,B8Y9XsgRTco_320000_330000,5,20,bassoon_clarinet,train,v2
B8Y9XsgRTco,B8Y9XsgRTco_464000_474000,7,44,bassoon_clarinet,train,v2
BA5ecV0AL6E,BA5ecV0AL6E_47000_57000,0,47,drum_marimba,train,v2
BA5ecV0AL6E,BA5ecV0AL6E_67000_77000,1,7,drum_marimba,train,v2
BChCcJILzLA,BChCcJILzLA_45000_55000,0,45,man_ukulele,train,v2
BFlulMzZ1XE,BFlulMzZ1XE_0_10000,0,0,woman_cat,train,v2
BFOs3FOpR6Y,BFOs3FOpR6Y_75000_85000,1,15,saxophone_trombone,test,v2
bFVla-bTtJk,bFVla-bTtJk_7000_17000,0,7,cello_violin,train,v2
bFVla-bTtJk,bFVla-bTtJk_40000_50000,0,40,cello_violin,train,v2
bGZ9a3aCJug,bGZ9a3aCJug_15000_25000,0,15,boy_gun,train,v2
bixCUmfS5EQ,bixCUmfS5EQ_10000_20000,0,10,tuba_trombone_trumpet,train,v2
bixCUmfS5EQ,bixCUmfS5EQ_120000_130000,2,0,tuba_trumpet_trombone,train,v2
BM9492vHkso,BM9492vHkso_25000_35000,0,25,emergency-car_car,train,v2
BMFH3ms1wZI,BMFH3ms1wZI_5000_15000,0,5,frying-food_man,train,v2
bn55Hs8MQtU,bn55Hs8MQtU_23000_33000,0,23,woman_guitar,train,v2
bOk44oZePqw,bOk44oZePqw_290000_300000,4,50,man_hair-dryer,train,v2
BOPZsLAp1_o,BOPZsLAp1_o_25000_35000,0,25,woman_guitar,train,v2
BOPZsLAp1_o,BOPZsLAp1_o_85000_95000,1,25,woman_guitar,train,v2
bOY73O4O65I,bOY73O4O65I_20000_30000,0,20,man_ukulele,test,v2
bP_pTg8-bmY,bP_pTg8-bmY_60000_70000,1,0,guitar_man,train,v2
Bq_d0kJRs4k,Bq_d0kJRs4k_81000_91000,1,21,dog_hair-dryer,train,v2
Bq_d0kJRs4k,Bq_d0kJRs4k_115000_125000,1,55,dog_hair-dryer,train,v2
Bq_d0kJRs4k,Bq_d0kJRs4k_136000_146000,2,16,dog_man_hair-dryer,train,v2
Bq_d0kJRs4k,Bq_d0kJRs4k_149000_159000,2,29,dog_hair-dryer,train,v2
BQRMH9h_gCE,BQRMH9h_gCE_60000_70000,1,0,woman_guitar_man,train,v2
BQRMH9h_gCE,BQRMH9h_gCE_260000_270000,4,20,woman_guitar_man,train,v2
BQYSbteWLp0_1,BQYSbteWLp0_1,0,0,guitar_marimba,train,v1m
Br7OOHUUj7M,Br7OOHUUj7M_40000_50000,0,40,woman_piano,train,v2
Br7OOHUUj7M,Br7OOHUUj7M_129000_139000,2,9,woman_piano,train,v2
BrPPF5WVrno,BrPPF5WVrno_100000_110000,1,40,flute_man,train,v2
BsMAcew4Bbw,BsMAcew4Bbw_115000_125000,1,55,guitar_man,train,v2
BSvftaprWrE,BSvftaprWrE_30000_40000,0,30,piano_trumpet,train,v2
BSvftaprWrE,BSvftaprWrE_160000_170000,2,40,piano_trumpet,train,v2
BT7-5WW6qxk,BT7-5WW6qxk_120000_130000,2,0,piano_cello,train,v2
buX53E8Jk4E,buX53E8Jk4E_60000_70000,1,0,woman_piano,train,v2
BvtaXGFoeRA_0,BvtaXGFoeRA_0,0,0,guitar_woman_tabla,test,v1m
bWykYjBhy7E,bWykYjBhy7E_28000_38000,0,28,woman_guitar,train,v2
bWykYjBhy7E,bWykYjBhy7E_40000_50000,0,40,woman_guitar,train,v2
bWykYjBhy7E,bWykYjBhy7E_70000_80000,1,10,woman_guitar,train,v2
bWykYjBhy7E,bWykYjBhy7E_93000_103000,1,33,woman_guitar,train,v2
Bxe6WzMbfAI,Bxe6WzMbfAI_5000_15000,0,5,guitar_man,train,v2
By-TDl2b2E4,By-TDl2b2E4_91000_101000,1,31,saw_woman,test,v2
BZyTr2Pku2A_1,BZyTr2Pku2A_1,0,0,guitar_piano,val,v1m
BZyTr2Pku2A_2,BZyTr2Pku2A_2,0,0,woman_piano_guitar,test,v1m
BZyTr2Pku2A_3,BZyTr2Pku2A_3,0,0,piano_guitar,train,v1m
BZyTr2Pku2A_4,BZyTr2Pku2A_4,0,0,piano_guitar_woman,train,v1m
c_BXlfRU5l4,c_BXlfRU5l4_20000_30000,0,20,flute_piano,train,v2
C_v4tpkpDGE,C_v4tpkpDGE_120000_130000,2,0,accordion_guitar,train,v2
C2poDeWWuwI,C2poDeWWuwI,0,0,bird_woman,train,v1m
C3Y8KyfS6HI,C3Y8KyfS6HI_0_10000,0,0,utv_man,train,v2
C41CFvWF4Gk,C41CFvWF4Gk_150000_160000,2,30,piano_violin,train,v2
C41CFvWF4Gk,C41CFvWF4Gk_668000_678000,11,8,piano_violin,train,v2
c6Zh2OdhBTI_0,c6Zh2OdhBTI_0,0,0,bird_man,train,v1m
c7d4Hl1pyF4,c7d4Hl1pyF4_75000_85000,1,15,erhu_pipa,train,v2
c7d4Hl1pyF4,c7d4Hl1pyF4_143000_153000,2,23,erhu_pipa,train,v2
C92m4MI-CZM,C92m4MI-CZM_50000_60000,0,50,girl_guitar,train,v2
C92m4MI-CZM,C92m4MI-CZM_130000_140000,2,10,girl_guitar,train,v2
CAEGMnX65Qw,CAEGMnX65Qw_287000_297000,4,47,utv_man,train,v2
CAGEBYVVlV8,CAGEBYVVlV8_60000_70000,1,0,girl_guitar_man,train,v2
CAGEBYVVlV8,CAGEBYVVlV8_82000_92000,1,22,girl_guitar_man,train,v2
cAzfai2rUFI,cAzfai2rUFI_53000_63000,0,53,piano_violin,train,v2
cBjhptncSuw,cBjhptncSuw_15000_25000,0,15,woman_hair-dryer,train,v2
CbQ2Ap7Phsw_0,CbQ2Ap7Phsw_0,0,0,baby_dog,train,v1m
cC5beeYzmO0,cC5beeYzmO0_18000_28000,0,18,man_sorna,train,v2
CCFZT2_TJr0,CCFZT2_TJr0_15000_25000,0,15,piano_clarinet,train,v2
CejjwUCcZTI,CejjwUCcZTI_148000_158000,2,28,accordion_violin,train,v2
CgTb9rrDN44,CgTb9rrDN44_90000_100000,1,30,woman_ukulele,test,v2
CguTMwUMf2E,CguTMwUMf2E_59000_69000,0,59,woman_guitar_man,train,v2
CguTMwUMf2E,CguTMwUMf2E_108000_118000,1,48,woman_guitar,train,v2
CguTMwUMf2E,CguTMwUMf2E_123000_133000,2,3,guitar_man,train,v2
CjQmcO_Q5d8,CjQmcO_Q5d8_42000_52000,0,42,piano_clarinet,train,v2
cjTvniN7UFA,cjTvniN7UFA_58000_68000,0,58,guitar_man,test,v2
cjTvniN7UFA,cjTvniN7UFA_131000_141000,2,11,guitar_man,test,v2
cmNI6jiMKik,cmNI6jiMKik_46000_56000,0,46,piano_clarinet,train,v2
CmtGLf7a_XM,CmtGLf7a_XM_10000_20000,0,10,piano_guitar,train,v2
CmtGLf7a_XM,CmtGLf7a_XM_82000_92000,1,22,piano_guitar,train,v2
CmtGLf7a_XM,CmtGLf7a_XM_90000_100000,1,30,piano_guitar,train,v2
CmtGLf7a_XM,CmtGLf7a_XM_120000_130000,2,0,piano_guitar,train,v2
CNNb34fs-mU,CNNb34fs-mU_90000_100000,1,30,man_duck,train,v2
CNNb34fs-mU,CNNb34fs-mU_230000_240000,3,50,man_duck,train,v2
